Node ID,Node Type,Node Name,Position X,Position Y,Template ID,Email Subject,Email Body,SMS Text,Voicemail Script,Config JSON,Edge From,Edge To,Edge Condition
C000,start,Import: Controller Target List,100,500,,,,,,"{}",C000,C001,"{}"
C001,filter,Filter: Multi-Entity Companies,300,500,,,,,,"{ ""criteria"": ""entities>=3"" }",C001,C002,"{}"
C002,filter,Filter: Controller/Finance Manager,500,500,,,,,,"{ ""criteria"": ""title_contains=Controller,Finance Manager,Accounting Manager"" }",C002,C003,"{}"
C003,tag,Tag: Controller-Multi-Entity,700,500,,,,,,"{ ""tag"": ""controller-target"" }",C003,C004,"{}"
C004,stage,STAGE: Day 1 - Initial Contact,900,500,,,,,,"{}",C004,C005,"{}"
C005,email_send,Send: 90% Workload Reduction Email,1100,400,ctrl_email_01_intro,Reduce your period-end close workload by 90%,"Hi {{contact.first_name}},

How long does your month-end close take? For most controllers managing multiple entities, it's 2-3 weeks of chaos.

Here's what I typically hear:
• ""We're reconciling across 20+ bank accounts manually""
• ""Intercompany transactions are a nightmare""  
• ""We can't produce accurate reports until week 3""
• ""My team works nights and weekends during close""

**There's a better way.**

Paycile automates multi-entity reconciliation so you can close in days, not weeks. Our customers reduce their reconciliation workload by 90% and eliminate errors entirely.

One controller told me: *""I finally have time to analyze results instead of just producing them.""*

**See how it works:** {{landing_page_url}}

30-minute demo shows you exactly how we automate your process.

Best,
Jim Fitzgerald
Paycile
jim@paycile.com",,"","{ ""template_id"": ""ctrl_email_01_intro"", ""landing_page"": ""/landing/controller"" }",C005,C006,"{}"
C006,wait,Wait: 90 Minutes,1300,400,,,,,,"{ ""duration"": ""PT90M"" }",C006,C007,"{}"
C007,decision,Check: Email Opened?,1500,400,,,,,,"{ ""condition"": ""email_opened"" }",C007,C008,"{ ""email_opened"": true }"
C007,decision,Check: Email Opened?,1500,400,,,,,,"{ ""condition"": ""email_opened"" }",C007,C021,"{ ""email_opened"": false }"
C008,tag,Tag: Opened-Initial,1700,300,,,,,,"{ ""tag"": ""email-engaged"", ""score"": 10 }",C008,C009,"{}"
C009,decision,Check: Link Clicked?,1900,300,,,,,,"{ ""condition"": ""link_clicked"" }",C009,C010,"{ ""link_clicked"": true }"
C009,decision,Check: Link Clicked?,1900,300,,,,,,"{ ""condition"": ""link_clicked"" }",C009,C026,"{ ""link_clicked"": false }"
C010,tag,Tag: HIGH-INTEREST,2100,200,,,,,,"{ ""tag"": ""high-interest"", ""score"": 50 }",C010,C011,"{}"
C011,sms_send,Send: SMS Quick Response,2300,200,ctrl_sms_01_intro,,,"Hi {{contact.first_name}}, Jim from Paycile. How long does your multi-entity close take? 2 weeks? 3? We help controllers close in 5 days with automated reconciliation. 30-min demo? {{landing_page_url}}",,"{ ""template_id"": ""ctrl_sms_01_intro"" }",C011,C012,"{}"
C012,wait,Wait: 1 Hour,2500,200,,,,,,"{ ""duration"": ""PT1H"" }",C012,C013,"{}"
C013,decision,Check: SMS Reply?,2700,200,,,,,,"{ ""condition"": ""sms_reply"" }",C013,C014,"{ ""sms_reply"": true }"
