Node ID,Node Type,Node Name,Position X,Position Y,Template ID,Email Subject,Email Body,SMS Text,Voicemail Script,Config JSON,Edge From,Edge To,Edge Condition
A000,start,Import: AR/AP Target List,100,500,,,,,,"{}",A000,A001,"{}"
A001,filter,Filter: AR/AP Specialists,300,500,,,,,,"{ ""criteria"": ""title_contains=AR,AP,Accounts Receivable,Accounts Payable,Collections"" }",A001,A002,"{}"
A002,filter,Filter: Revenue > $10M,500,500,,,,,,"{ ""criteria"": ""revenue_gte_10m"" }",A002,A003,"{}"
A003,tag,Tag: ARAP-Unapplied-Target,700,500,,,,,,"{ ""tag"": ""arap-target"" }",A003,A004,"{}"
A004,stage,STAGE: Day 1 - Value Intro,900,500,,,,,,"{}",A004,A005,"{}"
A005,email_send,Send: $250K Unapplied Funds Email,1100,400,arap_email_01_intro,"{{contact.first_name}}, you likely have $250K+ in unapplied funds","Hi {{contact.first_name}},

Quick question: How much cash is sitting in your unapplied funds account right now?

Most AR/AP managers I talk to don't actually know. They know it's ""a lot,"" but they're too buried in daily payment matching to investigate.

**On average, our customers discover $250K-$500K in unapplied funds** they didn't know they had. That's cash that came in but was never applied to invoices or customer accounts.

It's sitting there. Not working for you. Just... sitting.

**Paycile finds it and matches it automatically.**

We automatically:
• Match payments to invoices (even with incomplete references)
• Identify and recover unapplied funds
• Handle partial payments, overpayments, and complex scenarios
• Provide complete audit trails for everything

One AR manager recovered $380K in the first month. Another found $520K that had been sitting for over a year.

**Want to see how much you're sitting on?**

Book a free assessment: {{landing_page_url}}

We'll show you exactly where your unapplied funds are and how to recover them.

Best,
Jim Fitzgerald
AR/AP Solutions - Paycile",,"","{ ""template_id"": ""arap_email_01_intro"", ""landing_page"": ""/landing/arap"" }",A005,A006,"{}"
A006,wait,Wait: 1 Hour,1300,400,,,,,,"{ ""duration"": ""PT1H"" }",A006,A007,"{}"
A007,decision,Check: Email Opened?,1500,400,,,,,,"{ ""condition"": ""email_opened"" }",A007,A008,"{ ""email_opened"": true }"
A007,decision,Check: Email Opened?,1500,400,,,,,,"{ ""condition"": ""email_opened"" }",A007,A025,"{ ""email_opened"": false }"
A008,tag,Tag: Email-Opened,1700,300,,,,,,"{ ""tag"": ""opened"", ""score"": 10 }",A008,A009,"{}"
