Node ID,Node Type,Node Name,Position X,Position Y,Template ID,Email Subject,Email Body,SMS Text,Voicemail Script,Config JSON,Edge From,Edge To,Edge Condition
P000,start,Import: PropMgmt Finance List,100,500,,,,,,{},P000,P001,{}
P001,filter,Filter: Property Management,300,500,,,,,,"{ ""criteria"": ""industry=property_management"" }",P001,P002,{}
P002,filter,Filter: Yardi Users,500,500,,,,,,"{ ""criteria"": ""uses_yardi=true"" }",P002,P003,{}
P003,tag,Tag: PropMgmt-Yardi,700,500,,,,,,"{ ""tag"": ""propmgmt-yardi"" }",P003,P004,{}
P004,stage,STAGE: Day 1 - Yardi Native Hook,900,500,,,,,,{},P004,P005,{}
P005,email_send,Send: Native Yardi Integration,1100,400,prop_email_01_intro,Native Yardi integration for payment reconciliation,"Hi {{contact.first_name}},

If you're managing payment reconciliation across multiple properties in Yardi, you know the pain:

• Exporting payment files from Yardi
• Manually matching in spreadsheets  
• Importing results back to Yardi
• Repeating this for every property
• Hoping you didn't miss anything

**What if reconciliation just happened inside Yardi automatically?**

Paycile integrates natively with Yardi Voyager. No exports, no imports, no spreadsheets. Just automated reconciliation for your entire portfolio.

Our property management customers:
• Save 85% of reconciliation time
• See real-time cash position by property
• Eliminate rent/deposit matching errors
• Close month-end in days, not weeks

**See the Yardi integration live:** {{landing_page_url}}

30-minute demo shows how it works in your Yardi environment.

Property Management Solutions - Paycile",,,"{ ""template_id"": ""prop_email_01_intro"", ""landing_page"": ""/landing/property-management"" }",P005,P006,{}
P006,wait,Wait: 2 Hours,1300,400,,,,,,"{ ""duration"": ""PT2H"" }",P006,P007,{}
P007,decision,Check: Email Opened?,1500,400,,,,,,"{ ""condition"": ""email_opened"" }",P007,P008,"{ ""email_opened"": true }"
P007,decision,Check: Email Opened?,1500,400,,,,,,"{ ""condition"": ""email_opened"" }",P007,P021,"{ ""email_opened"": false }"
P008,tag,Tag: Email-Engaged,1700,300,,,,,,"{ ""tag"": ""engaged"", ""score"": 10 }",P008,P009,{}
P009,decision,Check: Link Clicked?,1900,300,,,,,,"{ ""condition"": ""link_clicked"" }",P009,P010,"{ ""link_clicked"": true }"
P009,decision,Check: Link Clicked?,1900,300,,,,,,"{ ""condition"": ""link_clicked"" }",P009,P026,"{ ""link_clicked"": false }"
P010,tag,Tag: HIGH-INTEREST,2100,200,,,,,,"{ ""tag"": ""high-interest"", ""score"": 50 }",P010,P011,{}
P011,sms_send,Send: SMS Yardi Quick Pitch,2300,200,prop_sms_01_intro,,,"Hi {{contact.first_name}}, Jim from Paycile. Spending hours reconciling rent payments in Yardi? We automate it natively inside Yardi. Save 85% of time. Demo: {{landing_page_url}}",,"{ ""template_id"": ""prop_sms_01_intro"" }",P011,P012,{}
P012,wait,Wait: 1 Hour,2500,200,,,,,,"{ ""duration"": ""PT1H"" }",P012,P013,{}
P013,decision,Check: SMS Reply?,2700,200,,,,,,"{ ""condition"": ""sms_reply"" }",P013,P014,"{ ""sms_reply"": true }"
P013,decision,Check: SMS Reply?,2700,200,,,,,,"{ ""condition"": ""sms_reply"" }",P013,P026,"{ ""sms_reply"": false }"
P014,task,TASK: Hot Lead - Schedule Demo,2900,100,,,,,,"{ ""assign_to"": ""BDR"", ""priority"": ""urgent"" }",P014,P066,{}
P015,linkedin_connect,LinkedIn: Connect,1100,600,,,,,,"{ ""message"": ""Hi {{contact.first_name}}, I help property management teams automate reconciliation in Yardi. Let's connect!"" }",P015,P016,{}
P016,wait,Wait: 4 Hours,1300,600,,,,,,"{ ""duration"": ""PT4H"" }",P016,P017,{}
